.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
sample10_R1	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample10_R2	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample1_R1	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample1_R2	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample2_R1	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample2_R2	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample3_R1	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample3_R2	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample4_R1	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample4_R2	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample5_R1	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample5_R2	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample6_R1	1	1	0.5	0.25	0.25	1	1	1	0.25	1
sample6_R2	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample7_R1	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample7_R2	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample8_R1	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample8_R2	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample9_R1	1	1	0.25	0.25	0.25	1	1	1	0.25	1
sample9_R2	1	1	0.25	0.25	0.25	1	1	1	0.25	1
