Sample	0	1	2	3	4	5	6	7	8	9	10
sample10_R1	(16.0, 1.0)	(17.0, 2.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 5.0)	(21.0, 3.0)	(22.0, 1.0)				
sample10_R2	(16.0, 1.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 5.0)	(20.0, 4.0)	(21.0, 3.0)					
sample1_R1	(17.0, 2.0)	(18.0, 4.0)	(19.0, 5.0)	(20.0, 7.0)	(21.0, 2.0)						
sample1_R2	(16.0, 1.0)	(17.0, 2.0)	(18.0, 2.0)	(19.0, 4.0)	(20.0, 6.0)	(21.0, 3.0)	(22.0, 2.0)				
sample2_R1	(16.0, 1.0)	(17.0, 3.0)	(18.0, 4.0)	(19.0, 2.0)	(20.0, 8.0)	(21.0, 1.0)	(22.0, 1.0)				
sample2_R2	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 6.0)	(20.0, 0.0)	(21.0, 5.0)	(22.0, 2.0)	(23.0, 1.0)
sample3_R1	(17.0, 3.0)	(18.0, 2.0)	(19.0, 9.0)	(20.0, 3.0)	(21.0, 2.0)	(22.0, 1.0)					
sample3_R2	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 6.0)	(20.0, 5.0)	(21.0, 4.0)	(22.0, 0.0)	(23.0, 1.0)			
sample4_R1	(16.0, 2.0)	(17.0, 2.0)	(18.0, 6.0)	(19.0, 4.0)	(20.0, 3.0)	(21.0, 3.0)					
sample4_R2	(15.0, 1.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 4.0)	(19.0, 3.0)	(20.0, 10.0)	(21.0, 1.0)	(22.0, 1.0)			
sample5_R1	(16.0, 2.0)	(17.0, 3.0)	(18.0, 9.0)	(19.0, 1.0)	(20.0, 2.0)	(21.0, 2.0)	(22.0, 0.0)	(23.0, 1.0)			
sample5_R2	(16.0, 1.0)	(17.0, 2.0)	(18.0, 5.0)	(19.0, 5.0)	(20.0, 3.0)	(21.0, 2.0)	(22.0, 2.0)				
sample6_R1	(17.0, 2.0)	(18.0, 3.0)	(19.0, 4.0)	(20.0, 5.0)	(21.0, 6.0)						
sample6_R2	(16.0, 1.0)	(17.0, 1.0)	(18.0, 1.0)	(19.0, 3.0)	(20.0, 9.0)	(21.0, 3.0)	(22.0, 2.0)				
sample7_R1	(17.0, 5.0)	(18.0, 2.0)	(19.0, 5.0)	(20.0, 4.0)	(21.0, 3.0)	(22.0, 1.0)					
sample7_R2	(17.0, 2.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 6.0)	(21.0, 3.0)	(22.0, 1.0)					
sample8_R1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 3.0)	(19.0, 5.0)	(20.0, 4.0)	(21.0, 5.0)			
sample8_R2	(17.0, 2.0)	(18.0, 7.0)	(19.0, 6.0)	(20.0, 2.0)	(21.0, 1.0)	(22.0, 2.0)					
sample9_R1	(16.0, 1.0)	(17.0, 1.0)	(18.0, 6.0)	(19.0, 5.0)	(20.0, 3.0)	(21.0, 2.0)	(22.0, 1.0)	(23.0, 0.0)	(24.0, 1.0)		
sample9_R2	(16.0, 1.0)	(17.0, 1.0)	(18.0, 8.0)	(19.0, 2.0)	(20.0, 2.0)	(21.0, 5.0)	(22.0, 0.0)	(23.0, 1.0)			
