Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
sample10_R1	0.0	49.0	50.0	50	40.0	1.9999999999999998e-05
sample10_R2	0.0	51.0	50.0	50	40.0	1.9999999999999998e-05
sample1_R1	0.0	49.0	50.0	50	40.0	1.9999999999999998e-05
sample1_R2	0.0	50.0	50.0	50	40.0	1.9999999999999998e-05
sample2_R1	0.0	50.0	50.0	50	40.0	1.9999999999999998e-05
sample2_R2	0.0	46.0	50.0	50	40.0	1.9999999999999998e-05
sample3_R1	0.0	49.0	50.0	50	40.0	1.9999999999999998e-05
sample3_R2	0.0	50.0	50.0	50	40.0	1.9999999999999998e-05
sample4_R1	0.0	49.0	50.0	50	40.0	1.9999999999999998e-05
sample4_R2	0.0	53.0	50.0	50	40.0	1.9999999999999998e-05
sample5_R1	0.0	49.0	50.0	50	40.0	1.9999999999999998e-05
sample5_R2	0.0	51.0	50.0	50	40.0	1.9999999999999998e-05
sample6_R1	0.0	52.0	50.0	50	30.0	1.9999999999999998e-05
sample6_R2	0.0	51.0	50.0	50	40.0	1.9999999999999998e-05
sample7_R1	0.0	46.0	50.0	50	40.0	1.9999999999999998e-05
sample7_R2	0.0	50.0	50.0	50	40.0	1.9999999999999998e-05
sample8_R1	0.0	46.0	50.0	50	40.0	1.9999999999999998e-05
sample8_R2	0.0	52.0	50.0	50	40.0	1.9999999999999998e-05
sample9_R1	0.0	52.0	50.0	50	40.0	1.9999999999999998e-05
sample9_R2	0.0	50.0	50.0	50	40.0	1.9999999999999998e-05
